,Name,Location,Kilometers_Driven,Mileage,Engine,Power,Seats,New_Price,Price,age,CNG,Diesel,Electric,LPG,Petrol,Automatic,Manual
23,Hyundai i20 1.2 Magna,Kolkata,45807,18.5,1197.0,80.0,5.0,,1.87,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0
24,Volkswagen Vento Petrol Highline AT,Kolkata,33000,14.4,1598.0,103.6,5.0,,2.85,14,0.0,0.0,0.0,0.0,1.0,1.0,0.0
25,Honda City Corporate Edition,Mumbai,51920,16.8,1497.0,116.3,5.0,,4.25,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0
26,Nissan Micra Diesel XV,Hyderabad,54000,23.08,1461.0,63.1,5.0,,4.25,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,54000,20.92,998.0,67.1,5.0,,2.75,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0
28,Honda WRV i-VTEC VX,Kochi,37430,17.5,1199.0,88.7,5.0,10.57 Lakh,9.9,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,262000,12.8,2494.0,102.0,7.0,,4.0,17,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,62000,19.01,1461.0,108.45,5.0,,7.75,11,0.0,1.0,0.0,0.0,0.0,0.0,1.0
31,Toyota Corolla Altis G,Delhi,87615,14.53,1798.0,138.1,5.0,,6.75,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0
32,Mahindra Ssangyong Rexton RX7,Bangalore,72000,11.18,2696.0,184.0,7.0,,12.5,11,0.0,1.0,0.0,0.0,0.0,1.0,0.0
33,Audi A6 2.7 TDI,Kolkata,35000,12.4,2698.0,179.5,5.0,,11.5,14,0.0,1.0,0.0,0.0,0.0,1.0,0.0
34,Volkswagen Vento 1.6 Highline,Coimbatore,55431,16.09,1598.0,103.5,5.0,12.33 Lakh,6.98,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0
35,Maruti Wagon R LXI BSIII,Jaipur,83816,14.0,1061.0,64.0,5.0,,1.85,15,0.0,0.0,0.0,0.0,1.0,0.0,1.0
36,Maruti Vitara Brezza ZDi Plus,Kochi,50075,24.3,1248.0,88.5,5.0,11.12 Lakh,8.63,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,52000,18.15,1198.0,82.0,5.0,,4.85,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0
38,Mercedes-Benz M-Class ML 350 CDI,Pune,85000,11.74,2987.0,254.8,5.0,,28.0,11,0.0,1.0,0.0,0.0,0.0,1.0,0.0
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,62000,22.07,1199.0,73.9,5.0,,5.0,11,0.0,1.0,0.0,0.0,0.0,0.0,1.0
40,Maruti Alto LXi,Delhi,90000,19.7,796.0,46.3,5.0,,1.25,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0
41,Tata Nano LX SE,Kochi,19698,25.4,624.0,37.5,4.0,,1.53,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,22033,25.32,1198.0,77.0,6.0,,5.58,7,0.0,1.0,0.0,0.0,0.0,0.0,1.0
43,Hyundai i20 Magna Optional 1.2,Kochi,35487,18.5,1197.0,82.9,5.0,,4.74,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,46374,14.62,1999.0,149.92,5.0,23.64 Lakh,8.85,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0
45,Toyota Corolla Altis G AT,Mumbai,52001,14.28,1798.0,138.03,5.0,,10.11,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0
46,Hyundai Elantra CRDi,Ahmedabad,58005,14.9,1991.0,112.2,5.0,,4.25,16,0.0,1.0,0.0,0.0,0.0,0.0,1.0
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,70704,11.25,2694.0,163.7,7.0,18.64 Lakh,10.95,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0
48,Hyundai Xcent 1.1 CRDi S,Jaipur,75000,24.4,1120.0,71.0,5.0,,3.85,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0
49,Mahindra Thar CRDe AC,Jaipur,75800,16.55,2498.0,105.0,6.0,,5.5,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,13648,17.11,1968.0,174.33,5.0,,21.43,9,0.0,1.0,0.0,0.0,0.0,1.0,0.0
51,Maruti Swift LDI,Delhi,52000,22.9,1248.0,74.0,5.0,,4.25,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0
52,Maruti Swift Ldi BSIV,Kolkata,53000,17.8,1248.0,75.0,5.0,,3.3,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0
53,Maruti Swift VDI,Delhi,65650,28.4,1248.0,74.0,5.0,,3.85,11,0.0,1.0,0.0,0.0,0.0,0.0,1.0
54,Hyundai Grand i10 Sportz,Chennai,54000,18.9,1197.0,82.0,5.0,,3.6,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,39000,15.04,1598.0,103.2,5.0,,3.99,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0
56,Renault KWID RXT,Kochi,16542,25.17,799.0,53.3,5.0,,3.3,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0
57,Hyundai i10 Asta,Kolkata,32000,20.36,1197.0,78.9,5.0,,2.07,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0
58,Nissan X-Trail SLX AT,Hyderabad,121812,13.29,1995.0,147.6,5.0,,7.75,14,0.0,1.0,0.0,0.0,0.0,1.0,0.0
59,Maruti Zen Estilo VXI BSIII,Hyderabad,39300,18.2,998.0,67.1,5.0,,2.25,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,22000,13.68,2393.0,147.8,8.0,19.34 Lakh,16.5,7,0.0,1.0,0.0,0.0,0.0,0.0,1.0
61,Ford Figo Diesel Titanium,Bangalore,72000,20.0,1399.0,68.0,5.0,,2.75,14,0.0,1.0,0.0,0.0,0.0,0.0,1.0
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,58000,11.74,1796.0,186.0,5.0,,26.7,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,65000,15.8,2148.0,170.0,5.0,,10.0,13,0.0,1.0,0.0,0.0,0.0,0.0,1.0
64,Tata Indica V2 eLS,Chennai,178000,25.0,1396.0,69.0,5.0,,2.5,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0
65,Audi A4 2.0 TDI Multitronic,Jaipur,65664,16.55,1968.0,140.0,5.0,,13.5,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0
66,Honda City ZX CVT,Mumbai,63000,16.4,1497.0,78.0,5.0,,1.85,17,0.0,0.0,0.0,0.0,1.0,1.0,0.0
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,15369,0.0,1950.0,194.0,5.0,49.14 Lakh,35.67,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0
68,Maruti Ertiga SHVS VDI,Pune,63000,24.52,1248.0,88.5,7.0,,8.15,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,13000,22.1,1396.0,88.7,5.0,11.81 Lakh,10.5,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,73000,8.5,4806.0,500.0,5.0,,14.5,16,0.0,0.0,0.0,0.0,1.0,1.0,0.0
71,Mahindra XUV500 W8 4WD,Mumbai,55729,15.1,2179.0,140.0,7.0,,9.65,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0
72,Hyundai i10 Sportz 1.2 AT,Kochi,45178,16.95,1197.0,78.9,5.0,,3.48,12,0.0,0.0,0.0,0.0,1.0,1.0,0.0
73,Nissan Terrano XV D Pre,Kochi,56066,19.64,1461.0,108.5,5.0,16.65 Lakh,6.92,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0
74,Honda Brio VX AT,Coimbatore,37300,16.5,1198.0,86.8,5.0,,6.46,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0
75,Audi A6 2.0 TDI Design Edition,Delhi,56000,18.53,1968.0,187.74,5.0,,29.5,10,0.0,1.0,0.0,0.0,0.0,1.0,0.0
76,Ford Fiesta 1.4 SXi TDCi,Jaipur,111111,17.8,1399.0,,5.0,,2.0,16,0.0,1.0,0.0,0.0,0.0,0.0,1.0
77,Toyota Innova 2.0 G1,Chennai,230000,12.4,1998.0,132.0,8.0,,4.5,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,104000,12.8,2494.0,102.0,7.0,,11.75,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0
79,Hyundai Santro Xing XL,Hyderabad,87591,0.0,1086.0,,5.0,,1.3,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0
80,Maruti Swift VDI,Jaipur,95100,22.9,1248.0,74.0,5.0,,3.75,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0
81,Tata Zest Revotron 1.2T XE,Pune,70000,17.57,1193.0,88.7,5.0,6.67 Lakh,4.5,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0
82,Honda Amaze SX i-VTEC,Kochi,54944,18.0,1198.0,86.7,5.0,,4.82,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0
83,Ford Figo Diesel ZXI,Hyderabad,70337,20.0,1399.0,68.0,5.0,,2.8,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0
84,Maruti Ritz VDi,Jaipur,99638,23.2,1248.0,73.94,5.0,,3.11,11,0.0,1.0,0.0,0.0,0.0,0.0,1.0
85,Honda City i VTEC E,Delhi,52000,17.8,1497.0,117.3,5.0,,3.25,15,0.0,0.0,0.0,0.0,1.0,0.0,1.0
86,BMW 5 Series 2003-2012 525d,Delhi,75000,16.73,1995.0,218.0,5.0,,13.9,13,0.0,1.0,0.0,0.0,0.0,1.0,0.0
87,Hyundai i10 Sportz 1.2,Pune,95980,20.36,1197.0,78.9,5.0,,2.25,15,0.0,0.0,0.0,0.0,1.0,0.0,1.0
88,Hyundai Grand i10 Sportz,Bangalore,16000,18.9,1197.0,82.0,5.0,,5.75,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0
89,Hyundai Santro Xing XO,Hyderabad,73745,17.0,1086.0,,5.0,,2.1,17,0.0,0.0,0.0,0.0,1.0,0.0,1.0
90,Honda Amaze SX i-VTEC,Mumbai,18949,17.8,1198.0,86.7,5.0,,5.0,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0
91,Toyota Fortuner 4x2 Manual,Delhi,107000,13.0,2982.0,168.5,7.0,,16.5,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,48367,17.68,1968.0,174.33,5.0,,39.58,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,57000,22.7,1498.0,89.84,5.0,,5.5,11,0.0,1.0,0.0,0.0,0.0,0.0,1.0
94,Mahindra XUV500 W8 2WD,Delhi,58000,15.1,2179.0,140.0,7.0,,8.1,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0
95,Honda Amaze SX i-DTEC,Kolkata,30000,25.8,1498.0,98.6,5.0,,3.5,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,34212,22.07,1199.0,73.9,5.0,,2.79,11,0.0,1.0,0.0,0.0,0.0,0.0,1.0
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,70002,16.2,1493.0,110.0,5.0,,3.45,14,0.0,1.0,0.0,0.0,0.0,0.0,1.0
98,Maruti Wagon R VXI BS IV,Bangalore,62000,18.9,998.0,67.1,5.0,,4.45,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,62001,15.26,1598.0,103.5,5.0,,2.65,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0
100,Hyundai i20 1.4 CRDi Sportz,Pune,78958,23.0,1396.0,90.0,5.0,,3.8,13,0.0,1.0,0.0,0.0,0.0,0.0,1.0
101,Hyundai i20 Asta 1.2,Mumbai,30180,18.5,1197.0,82.85,5.0,,4.65,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0
102,Datsun GO Plus T Petrol,Pune,32851,19.83,1198.0,67.0,7.0,6.45 Lakh,3.95,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,30000,14.94,2967.0,241.4,5.0,,9.8,14,0.0,1.0,0.0,0.0,0.0,1.0,0.0
104,Hyundai i20 2015-2017 Asta,Pune,66000,17.0,1197.0,80.0,5.0,,2.7,15,0.0,0.0,0.0,0.0,1.0,0.0,1.0
105,Maruti Omni 5 Str STD,Coimbatore,93850,14.0,796.0,35.0,5.0,,2.41,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0
106,Toyota Etios Liva 1.2 G,Ahmedabad,53000,17.71,1197.0,78.9,5.0,6.41 Lakh,3.9,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,78000,14.74,2993.0,270.9,5.0,,24.0,13,0.0,1.0,0.0,0.0,0.0,1.0,0.0
108,Mahindra XUV500 W8 2WD,Delhi,65000,16.0,2179.0,140.0,7.0,,5.75,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,40000,22.32,1582.0,126.32,5.0,,5.25,10,0.0,1.0,0.0,0.0,0.0,1.0,0.0
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,30000,11.36,2755.0,171.5,7.0,27 Lakh,19.25,7,0.0,1.0,0.0,0.0,0.0,1.0,0.0
111,Maruti Eeco 5 Seater AC,Coimbatore,38053,15.1,1196.0,73.0,5.0,5.13 Lakh,3.91,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0
112,Tata Nano Twist XT,Bangalore,25500,25.4,624.0,37.5,4.0,,2.15,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0
113,BMW 3 Series 320d Luxury Line,Mumbai,56087,22.69,1995.0,190.0,5.0,54.43 Lakh,20.75,9,0.0,1.0,0.0,0.0,0.0,1.0,0.0
114,Honda Civic 2006-2010 1.8 V MT,Delhi,71088,13.5,1799.0,130.0,5.0,,3.35,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,55000,12.99,2494.0,100.6,7.0,,11.11,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0
116,Volvo V40 Cross Country D3,Bangalore,32700,23.3,1984.0,150.0,5.0,,20.0,10,0.0,1.0,0.0,0.0,0.0,1.0,0.0
117,Nissan Micra XV CVT,Coimbatore,39882,19.15,1198.0,75.94,5.0,9.51 Lakh,6.55,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0
118,BMW 5 Series 2010-2013 525i,Mumbai,128000,10.8,2497.0,215.0,5.0,,7.0,15,0.0,0.0,0.0,0.0,1.0,1.0,0.0
119,Maruti Vitara Brezza VDi,Mumbai,55000,24.3,1248.0,88.5,5.0,9.96 Lakh,7.5,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0
120,Hyundai Santro Xing XL eRLX Euro III,Mumbai,102000,17.0,1086.0,,5.0,,0.85,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0
121,Mercedes-Benz B Class B200 CDI,Pune,53753,15.0,2143.0,107.3,5.0,,16.75,10,0.0,1.0,0.0,0.0,0.0,1.0,0.0
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,10250,22.0,1582.0,126.2,5.0,14.44 Lakh,10.95,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0
123,Maruti Wagon R LXI BS IV,Pune,43874,18.9,998.0,67.1,5.0,,2.45,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0
124,Tata Nano XTA,Coimbatore,32684,21.9,624.0,37.48,4.0,,3.23,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0
125,Mahindra Scorpio VLX,Kolkata,42000,12.05,2179.0,120.0,8.0,,7.75,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,28352,11.7,1796.0,178.0,5.0,,9.35,15,0.0,0.0,0.0,0.0,1.0,1.0,0.0
127,Maruti Wagon R LXI CNG,Pune,89900,21.014000000000003,998.0,58.16,5.0,,3.25,11,1.0,0.0,0.0,0.0,0.0,0.0,1.0
128,Honda CR-V 2.4 MT,Bangalore,47700,10.8,2354.0,152.0,5.0,,5.25,17,0.0,0.0,0.0,0.0,1.0,0.0,1.0
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,55000,21.21,1498.0,103.2,5.0,,7.25,9,0.0,1.0,0.0,0.0,0.0,1.0,0.0
130,Maruti Ciaz VXi Plus,Kochi,44285,20.73,1373.0,91.1,5.0,,7.47,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0
131,Mahindra XUV500 AT W10 FWD,Jaipur,54000,16.0,2179.0,140.0,7.0,,13.25,8,0.0,1.0,0.0,0.0,0.0,1.0,0.0
132,Maruti Ritz VXI ABS,Coimbatore,30232,21.1,1197.0,85.8,5.0,,5.81,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0
133,Maruti Alto K10 VXI,Hyderabad,88500,24.07,998.0,67.1,5.0,4.53 Lakh,2.6,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0
134,Mercedes-Benz SLC 43 AMG,Kolkata,13372,19.0,2996.0,362.07,2.0,95.04 Lakh,54.0,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,12645,17.0,1591.0,121.3,5.0,13.49 Lakh,11.5,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0
136,Maruti Alto LXi BSIII,Chennai,94385,19.7,796.0,46.3,5.0,,1.6,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0
137,BMW 1 Series 118d Base,Coimbatore,31821,20.58,1995.0,143.0,5.0,,17.22,9,0.0,1.0,0.0,0.0,0.0,1.0,0.0
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,12000,19.0,1199.0,88.7,5.0,,6.0,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0
139,Honda Civic 2006-2010 1.8 V MT,Delhi,88578,13.5,1799.0,130.0,5.0,,3.95,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,44965,19.27,2143.0,170.0,5.0,,17.95,10,0.0,1.0,0.0,0.0,0.0,1.0,0.0
141,Honda Amaze SX i-DTEC,Kolkata,45044,25.8,1498.0,98.6,5.0,,3.7,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0
142,Maruti Swift VVT VXI,Kochi,34204,22.0,1197.0,81.8,5.0,,5.43,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0
143,Hyundai Santro Xing XO eRLX Euro II,Kochi,80759,17.0,1086.0,,5.0,,1.67,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0
144,Toyota Fortuner 3.0 Diesel,Coimbatore,91235,11.5,2982.0,171.0,7.0,,13.49,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0
145,Chevrolet Beat LT Option,Pune,38800,18.6,1199.0,76.8,5.0,,2.85,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0
146,Skoda Rapid 1.5 TDI Elegance,Chennai,83000,21.14,1498.0,103.52,5.0,,4.75,11,0.0,1.0,0.0,0.0,0.0,0.0,1.0
147,Maruti Ciaz 1.4 Alpha,Kochi,41283,20.73,1373.0,91.1,5.0,,9.9,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0
148,Audi RS5 Coupe,Mumbai,23000,11.05,2894.0,444.0,4.0,1.28 Cr,37.0,11,0.0,0.0,0.0,0.0,1.0,1.0,0.0
149,BMW 3 Series Luxury Line,Mumbai,48000,21.76,1995.0,190.0,5.0,60.88 Lakh,26.5,10,0.0,1.0,0.0,0.0,0.0,1.0,0.0
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,48214,17.11,1968.0,174.33,5.0,,23.32,9,0.0,1.0,0.0,0.0,0.0,1.0,0.0
151,Maruti Swift VDI,Chennai,35000,22.9,1248.0,74.0,5.0,,6.25,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,35277,7.81,5461.0,362.9,5.0,,30.0,14,0.0,0.0,0.0,0.0,1.0,1.0,0.0
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,54620,21.66,1498.0,103.52,5.0,,9.86,8,0.0,1.0,0.0,0.0,0.0,1.0,0.0
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,136997,17.2,1968.0,138.1,5.0,,8.5,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0
155,Hyundai EON Magna Plus,Kochi,14322,21.1,814.0,55.2,5.0,,4.23,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,65634,22.07,1199.0,73.9,5.0,,3.5,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0
157,Datsun GO NXT,Kolkata,6000,20.63,1198.0,67.06,5.0,,2.5,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0
158,Honda Brio S MT,Kolkata,33280,19.4,1198.0,86.8,5.0,,2.39,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0
159,Mercedes-Benz B Class B180,Delhi,29000,14.8,1595.0,120.7,5.0,,11.25,11,0.0,0.0,0.0,0.0,1.0,1.0,0.0
160,Honda City i DTEC V,Kochi,42831,26.0,1498.0,98.6,5.0,,7.11,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,90000,12.99,2494.0,100.6,7.0,,10.9,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0
162,Maruti Swift VXI Optional,Ahmedabad,24005,20.4,1197.0,81.8,5.0,,6.2,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0
163,Mahindra XUV500 W8 2WD,Mumbai,32792,15.1,2179.0,140.0,7.0,,7.9,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,147898,22.7,1498.0,89.84,5.0,,4.42,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0
165,Toyota Fortuner 4x2 Manual,Mumbai,131765,13.0,2982.0,168.5,7.0,,13.5,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,65000,21.5,1498.0,108.5,5.0,,6.25,11,0.0,1.0,0.0,0.0,0.0,1.0,0.0
167,Ford Figo Diesel Titanium,Jaipur,66123,20.0,1399.0,68.0,5.0,,2.1,14,0.0,1.0,0.0,0.0,0.0,0.0,1.0
168,BMW X5 xDrive 30d,Mumbai,41000,15.3,2993.0,258.0,5.0,,45.0,9,0.0,1.0,0.0,0.0,0.0,1.0,0.0
